LOGINMANAGER, TRACE | 14:24:19, 3.84 : Login Scene Starting....
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: newfinalie.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: not_in_order1.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: not_in_order2.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: not_in_order3.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: Release.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: seeing the moon.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: sorting_instructions.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: sort-nicejob.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: startbasketball.mp3
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: startsim.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Extracting file: Test55.mp3
DOWNLOADUTILITY, DEBUG | 14:27:43, 194.31 : Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY, DEBUG | 14:27:43, 194.31 : Extracting file: demo10.json
DOWNLOADUTILITY, DEBUG | 14:27:43, 194.31 : Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY, DEBUG | 14:27:43, 194.31 : Extracting file: 2k_moon.jpg
DOWNLOADUTILITY, DEBUG | 14:27:43, 194.31 : Extracting file: 2k_sun.jpg
DOWNLOADUTILITY, DEBUG | 14:27:43, 194.31 : Extracting file: balldimpled.png
MEDIACATALOGUE, TRACE | 14:27:43, 194.31 : Started Initializing Media Catlogue, 22 resources to load
MEDIACATALOGUE, TRACE | 14:27:43, 194.31 : Started loading file: basketball.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.66 : Started loading file: bigearthmoon.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.7 : Started loading file: Grab.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.72 : Started loading file: introduction.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.74 : Started loading file: labintro.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.75 : Started loading file: newfinalie.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.77 : Started loading file: not_in_order1.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.8 : Started loading file: not_in_order2.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.82 : Started loading file: not_in_order3.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.84 : Started loading file: Release.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.85 : Started loading file: seeing the moon.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.89 : Started loading file: sorting_instructions.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.93 : Started loading file: sort-nicejob.wav
MEDIACATALOGUE, TRACE | 14:27:43, 194.94 : Started loading file: startbasketball.mp3
MEDIACATALOGUE, TRACE | 14:27:43, 194.96 : Started loading file: startsim.wav
MEDIACATALOGUE, TRACE | 14:27:43, 195.05 : Started loading file: starttinyearthmoons.wav
MEDIACATALOGUE, TRACE | 14:27:43, 195.06 : Started loading file: Test55.mp3
MEDIACATALOGUE, TRACE | 14:27:49, 195.15 : Started loading file: tinyearthmoon.wav
MEDIACATALOGUE, TRACE | 14:27:49, 195.5 : Started loading file: 2k_earth_daymap.jpg
MEDIACATALOGUE, TRACE | 14:27:49, 195.76 : Started loading file: 2k_moon.jpg
MEDIACATALOGUE, TRACE | 14:27:49, 196.03 : Started loading file: 2k_sun.jpg
MEDIACATALOGUE, TRACE | 14:27:50, 196.3 : Started loading file: balldimpled.png
LOGINMANAGER, TRACE | 14:27:50, 196.35 : Initializing Lab Manager
LABMANAGER, TRACE | 14:27:50, 196.35 : Initializing lab
LIGHTINGCONTROL, TRACE | 14:27:50, 196.35 : Save lights called
LIGHTINGCONTROL, TRACE | 14:27:50, 196.35 : Setting lights to be sunlight
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: Sun, type: Prefabs/SunPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (-39.0, 0.0, 0.0), Scale: (5.0, 5.0, 5.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Adding components: 
BRIDGE, TRACE | 14:27:50, 196.35 : Mesh bounding box: Center: (-39.0, -0.2, 3.7), Extents: (2.7, 2.5, 2.7)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: Earth, type: Prefabs/moveableSphere
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (0.0, 0.0, 1.5), Scale: (0.1, 0.1, 0.1), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Adding components: {"name": "simpleRotation", "timeRate": 1.0, "rotationTime": 2.0} 
BRIDGE, TRACE | 14:27:50, 196.35 : Mesh bounding box: Center: (0.0, -0.2, 1.4), Extents: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: Moon, type: Prefabs/moveableSphere
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (2.4, 0.0, 1.5), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Adding components: {"name": "simpleOrbit", "moonPosition": {"x": 2.4, "y": 0.0, "z": 1.5}, "orbitalPeriod": 56.0, "timeRate": 1.0, "orbitalScale": 1.0, "synchronousRotation": true} 
BRIDGE, TRACE | 14:27:50, 196.35 : Mesh bounding box: Center: (2.4, -0.2, 1.1), Extents: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: earthLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (0.0, 2.0, 0.0), Scale: (10.0, 10.0, 10.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: earthSizeLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (0.0, -2.0, 0.0), Scale: (0.1, 0.1, 0.1), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: moonLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (0.0, 4.0, 0.0), Scale: (20.0, 20.0, 20.0), EulerAngles: (0.0, -90.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: moonSizeLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (0.0, -4.0, 0.0), Scale: (0.1, 0.1, 0.1), EulerAngles: (0.0, -90.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: moonDistanceLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (45.0, 0.0, 0.0), Scale: (0.1, 0.1, 0.1), EulerAngles: (0.0, 180.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: taskLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (0.0, 0.6, 2.5), Scale: (0.6, 0.6, 0.6), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: sectionLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (0.0, 0.8, 2.5), Scale: (0.6, 0.6, 0.6), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: brbNextModule, type: Prefabs/demoButtonPrefab
BRIDGE, TRACE | 14:27:50, 196.35 : Position: (1.2, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 14:27:50, 196.35 : Adding components: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]} 
BRIDGE, TRACE | 14:27:50, 196.35 : Creating object: brbNextModuleLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.1), Scale: (0.6, 0.6, 0.6), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbPreviousModule, type: Prefabs/demoButtonPrefab
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (-1.2, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Adding components: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]} 
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbPreviousModuleLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.1), Scale: (0.6, 0.6, 0.6), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbNextClip, type: Prefabs/demoButtonPrefab
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (1.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Adding components: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]} 
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbNextClipLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.1), Scale: (0.6, 0.6, 0.6), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbPreviousClip, type: Prefabs/demoButtonPrefab
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (-1.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (90.0, 180.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Adding components: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]} 
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbPreviousClipLabel, type: Prefabs/textPrefab
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.1), Scale: (0.6, 0.6, 0.6), EulerAngles: (90.0, 180.0, 0.0)
DEMOSEQUENCE, TRACE | 14:27:51, 196.35 : Moving to clip clip1
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: MainInstructions, type: 
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbNextClip, type: 
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:27:51, 196.35 : Creating object: brbNextModule, type: 
BRIDGE, TRACE | 14:27:51, 196.35 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
DEMOSEQUENCE, TRACE | 14:31:58, 443.15 : Moving to clip clip2
BRIDGE, TRACE | 14:31:58, 443.15 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:31:58, 443.15 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:31:58, 443.15 : Mesh bounding box: Center: (0.1, 0.4, 2.4), Extents: (0.2, 0.0, 0.0)
BRIDGE, TRACE | 14:31:58, 443.15 : Creating object: earthSizeLabel, type: 
BRIDGE, TRACE | 14:31:58, 443.15 : Position: (0.0, 0.0, 0.0), Scale: (10.0, 10.0, 10.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:31:58, 443.15 : Mesh bounding box: Center: (-0.1, 0.3, 1.7), Extents: (0.2, 0.0, 0.0)
BRIDGE, TRACE | 14:31:58, 443.15 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:31:58, 443.15 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:31:58, 443.15 : Creating object: brbNextClip, type: 
BRIDGE, TRACE | 14:31:58, 443.15 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:31:59, 443.15 : Creating object: brbNextModule, type: 
BRIDGE, TRACE | 14:31:59, 443.15 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
DEMOSEQUENCE, TRACE | 14:36:38, 723.07 : Moving to clip clip3
BRIDGE, TRACE | 14:36:38, 723.07 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:36:38, 723.07 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:36:38, 723.07 : Mesh bounding box: Center: (0.1, 0.4, 2.4), Extents: (0.2, 0.0, 0.0)
BRIDGE, TRACE | 14:36:39, 723.07 : Creating object: moonSizeLabel, type: 
BRIDGE, TRACE | 14:36:39, 723.07 : Position: (0.0, 0.0, 0.0), Scale: (20.0, 20.0, 20.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:36:39, 723.07 : Mesh bounding box: Center: (2.2, 0.4, 1.2), Extents: (0.0, 0.0, 0.1)
BRIDGE, TRACE | 14:36:39, 723.07 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:36:39, 723.07 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:36:39, 723.07 : Creating object: brbNextClip, type: 
BRIDGE, TRACE | 14:36:39, 723.07 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:36:39, 723.07 : Creating object: brbNextModule, type: 
BRIDGE, TRACE | 14:36:39, 723.07 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
DEMOSEQUENCE, TRACE | 14:36:57, 741.36 : Moving to clip clip4
BRIDGE, TRACE | 14:36:57, 741.36 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:36:57, 741.36 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:36:57, 741.36 : Mesh bounding box: Center: (0.1, 0.4, 2.4), Extents: (0.4, 0.0, 0.0)
BRIDGE, TRACE | 14:36:57, 741.36 : Creating object: moonDistanceLabel, type: 
BRIDGE, TRACE | 14:36:57, 741.36 : Position: (0.0, 0.0, 0.0), Scale: (30.0, 30.0, 30.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:36:57, 741.36 : Mesh bounding box: Center: (-0.5, 0.4, 3.1), Extents: (0.1, 0.1, 0.5)
BRIDGE, TRACE | 14:36:57, 741.36 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:36:57, 741.36 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:36:58, 741.36 : Creating object: brbNextClip, type: 
BRIDGE, TRACE | 14:36:58, 741.36 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:36:58, 741.36 : Creating object: brbNextModule, type: 
BRIDGE, TRACE | 14:36:58, 741.36 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
DEMOSEQUENCE, TRACE | 14:37:20, 763.45 : Moving to clip clip5
BRIDGE, TRACE | 14:37:20, 763.45 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:37:20, 763.45 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:37:20, 763.45 : Mesh bounding box: Center: (0.1, 0.4, 2.4), Extents: (0.4, 0.0, 0.0)
BRIDGE, TRACE | 14:37:20, 763.45 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:37:20, 763.45 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:37:20, 763.45 : Creating object: brbNextClip, type: 
BRIDGE, TRACE | 14:37:20, 763.45 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:37:20, 763.45 : Creating object: brbNextModule, type: 
BRIDGE, TRACE | 14:37:20, 763.45 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
DEMOSEQUENCE, TRACE | 14:41:07, 990.27 : Moving to clip clip6
BRIDGE, TRACE | 14:41:07, 990.27 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:41:07, 990.27 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:41:07, 990.27 : Mesh bounding box: Center: (0.1, 0.4, 2.4), Extents: (0.5, 0.0, 0.0)
BRIDGE, TRACE | 14:41:07, 990.27 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:41:07, 990.27 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:41:07, 990.27 : Creating object: brbNextClip, type: 
BRIDGE, TRACE | 14:41:07, 990.27 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:41:07, 990.27 : Creating object: brbNextModule, type: 
BRIDGE, TRACE | 14:41:07, 990.27 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
DEMOSEQUENCE, TRACE | 14:43:09, 1111.65 : Moving to clip clip7
BRIDGE, TRACE | 14:43:09, 1111.65 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:43:09, 1111.65 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:43:09, 1111.65 : Mesh bounding box: Center: (0.1, 0.4, 2.4), Extents: (0.5, 0.0, 0.0)
BRIDGE, TRACE | 14:43:09, 1111.65 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:43:09, 1111.65 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:43:09, 1111.65 : Creating object: brbNextClip, type: 
BRIDGE, TRACE | 14:43:09, 1111.65 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:43:09, 1111.65 : Creating object: brbNextModule, type: 
BRIDGE, TRACE | 14:43:09, 1111.65 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
DEMOSEQUENCE, TRACE | 14:46:12, 1294.62 : Moving to clip clip8
BRIDGE, TRACE | 14:46:12, 1294.62 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:46:12, 1294.62 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:46:12, 1294.62 : Mesh bounding box: Center: (0.1, 0.4, 2.4), Extents: (0.3, 0.0, 0.0)
BRIDGE, TRACE | 14:46:12, 1294.62 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:46:12, 1294.62 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:46:12, 1294.62 : Creating object: brbNextClip, type: 
BRIDGE, TRACE | 14:46:12, 1294.62 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:46:12, 1294.62 : Creating object: brbNextModule, type: 
BRIDGE, TRACE | 14:46:12, 1294.62 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
DEMOSEQUENCE, TRACE | 14:46:29, 1311.47 : Moving to clip clip9
BRIDGE, TRACE | 14:46:29, 1311.47 : Creating object: taskLabel, type: 
BRIDGE, TRACE | 14:46:29, 1311.47 : Position: (0.0, 0.0, 0.0), Scale: (0.0, 0.0, 0.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:46:29, 1311.47 : Mesh bounding box: Center: (0.1, 0.4, 2.4), Extents: (0.3, 0.0, 0.0)
BRIDGE, TRACE | 14:46:29, 1311.47 : Creating object: brbPreviousClip, type: 
BRIDGE, TRACE | 14:46:29, 1311.47 : Position: (0.0, 0.0, 0.0), Scale: (1.0, 1.0, 1.0), EulerAngles: (0.0, 0.0, 0.0)
BRIDGE, TRACE | 14:46:29, 1311.47 : Creating object: brbNextClip, type: 
